date,Uriah,Veylan,Sofi,Neve,Elliot,Riella,Dash,Eleanor,Bodhi,Mary,Erin,Taj,Silas,Beatrice,Willa
13-48-21,0,0,0,0,0,0,33,0,0,0,0,0,0,0,0,0
13-49-01,0,0,37,0,0,0,0,0,0,0,0,0,0,0,0,0
13-49-11,0,0,45,0,0,0,0,0,0,0,0,0,0,0,0,0
13-49-21,0,0,42,0,0,0,0,0,0,0,0,0,0,0,0,0
13-49-31,0,0,34,0,0,0,0,0,0,0,0,0,0,0,0,0
13-49-41,0,0,42,0,0,0,0,0,0,0,0,0,0,0,0,0
13-49-51,0,0,35,0,0,0,0,0,0,0,0,0,0,0,0,0
13-50-01,0,0,54,0,0,0,0,0,0,0,0,0,0,0,0,0
13-50-11,0,0,39,0,0,0,0,0,0,0,0,0,0,0,0,0
14-00-11,0,0,0,0,0,0,34,0,0,0,0,0,0,0,0,0
14-00-41,0,0,0,0,0,0,0,0,0,0,0,0,0,35,0,0
14-00-51,0,0,0,0,0,0,0,0,0,39,0,0,0,44,0,0
14-01-01,0,0,0,0,0,0,0,0,0,37,0,0,0,0,37,0
